9.614-9.773: hello
3380.905-3381.065: and
3381.225-3381.625: american
3381.625-3381.865: birth
3381.865-3382.105: rates
3382.665-3382.905: is
3382.905-3383.145: that
3383.145-3383.545: something
3383.545-3383.945: you
3383.945-3384.345: spoken
3384.345-3384.585: to
3384.745-3384.985: donald
3385.145-3385.465: trump
3385.465-3385.705: about
3386.025-3386.525: and
3387.305-3387.385: it
3387.385-3387.705: seems
3387.705-3388.025: like
3388.025-3388.265: the
3388.265-3388.425: richer
3388.425-3388.665: we
3388.665-3388.825: get
3388.985-3389.145: the
3389.145-3389.385: worse
3389.385-3389.545: it
3389.545-3389.705: gets
3390.025-3390.185: and
3390.185-3390.425: you
3390.425-3390.585: can't
3390.585-3390.825: really
3390.825-3391.065: pay
3391.065-3391.385: people
3391.385-3391.545: to
3391.545-3391.705: have
3391.705-3391.785: more
3391.945-3392.265: nothing
3392.265-3392.505: seems
3392.505-3392.665: to
3392.665-3393.165: work
3393.305-3393.360: full
3393.720-3394.220: what
3394.440-3394.680: ideas
3394.680-3394.840: do
3394.840-3395.080: you
3395.080-3395.320: have
3395.320-3395.480: for
3395.480-3395.720: that
3395.960-3396.280: and
3396.280-3396.600: is
3396.600-3396.840: that
3396.840-3397.340: something
3397.560-3397.880: that
3397.880-3398.380: you
3398.520-3398.760: have
3398.760-3399.000: spoken
3399.000-3399.160: to
3399.160-3399.320: him
3399.320-3399.480: about
3399.640-3399.800: thank
3399.800-3399.960: you
3401.000-3401.240: i
3401.400-3401.480: i
3401.480-3401.720: have
3401.720-3401.880: mentioned
3401.880-3402.280: it
3402.280-3402.440: to
3402.440-3402.520: him
3404.600-3404.840: and
3404.840-3405.000: it
3405.000-3405.320: is
3405.320-3405.400: it
3405.400-3405.480: is
3405.480-3405.720: a
3405.720-3405.960: quan
3406.200-3406.280: like
3406.520-3406.680: as
3406.680-3406.840: you
3406.920-3407.080: you
3407.080-3407.160: know
3407.734-3407.814: you
3407.814-3407.974: look
3407.974-3408.053: at
3408.053-3408.213: the
3408.213-3408.293: sort
3408.293-3408.372: of
3408.372-3408.532: the
3408.532-3408.691: rise
3408.691-3408.851: and
3408.851-3409.010: pool
3409.010-3409.489: of
3409.489-3409.649: civilizations
3409.888-3410.388: realized
3410.446-3410.946: that
3411.084-3411.403: actually
3412.121-3412.621: what
3413.158-3413.397: ended
3413.397-3413.637: up
3414.833-3415.072: what
3415.072-3415.311: what
3415.311-3415.631: ended
3415.631-3416.131: most
3416.348-3416.747: civilizations
3416.747-3416.987: was
3416.987-3417.066: a
3417.066-3417.306: low
3417.306-3417.545: birth
3417.545-3417.704: rate
3419.220-3419.379: that
3419.379-3419.879: is
3420.017-3420.257: they
3420.257-3420.757: just
3421.229-3421.467: an
3421.467-3421.786: an
3421.786-3422.184: extended
3422.184-3422.502: period
3422.502-3422.662: of
3422.662-3423.162: prosperity
3424.971-3425.210: seems
3425.210-3425.369: to
3425.369-3425.767: cause
3425.767-3426.006: both
3426.006-3426.506: rates
3426.643-3426.882: plummet
3428.315-3428.554: and
3428.554-3429.054: somewhat
3429.191-3429.271: it's
3429.271-3429.669: somewhat
3429.669-3430.169: counterintuitive
3430.625-3430.784: when
3430.784-3431.102: a
3431.102-3431.341: society
3431.341-3431.501: is
3431.501-3431.819: under
3431.819-3432.138: stress
3432.536-3432.775: birth
3432.775-3433.173: rates
3433.173-3433.332: increase
3434.385-3434.544: so
3434.544-3434.704: if
3434.704-3434.784: you
3434.784-3434.864: look
3434.864-3435.024: at
3435.024-3435.184: say
3436.143-3436.223: ancient
3436.303-3436.543: rome
3436.782-3436.942: the
3436.942-3437.102: birth
3437.102-3437.342: rates
3437.342-3437.502: were
3437.502-3437.742: super
3437.742-3437.981: high
3437.981-3438.141: when
3438.141-3438.301: they
3438.301-3438.461: were
3438.461-3438.781: fighting
3438.781-3438.941: the
3438.941-3439.441: carthaginian
3440.060-3440.300: and
3440.300-3440.539: and
3440.539-3441.039: and
3441.179-3441.679: rome
3441.818-3442.058: very
3442.058-3442.378: very
3442.378-3442.538: life
3442.538-3442.698: was
3442.698-3442.938: at
3442.938-3443.177: stake
3443.497-3443.737: birth
3443.737-3444.056: rates
3444.056-3444.556: were
3444.616-3444.856: all
3444.856-3445.096: time
3445.096-3445.335: high
3446.308-3446.387: after
3446.387-3446.785: they
3446.785-3447.285: defeated
3447.422-3447.740: cottage
3447.740-3448.240: and
3448.297-3448.615: ruled
3448.615-3449.013: the
3449.411-3449.729: mediterranean
3450.525-3450.684: the
3450.684-3450.843: birth
3450.843-3451.161: rates
3451.161-3451.480: plummeted
3452.753-3452.912: and
3452.912-3453.071: to
3453.071-3453.151: such
3453.151-3453.389: a
3453.389-3453.628: degree
3453.628-3453.787: that
3454.264-3454.583: julius
3454.583-3454.822: caesar
3454.822-3455.060: even
3455.060-3455.140: try
3455.140-3455.378: to
3455.378-3455.856: pass
3456.174-3456.254: you
3456.254-3456.333: know
3456.492-3456.731: low
3456.731-3456.970: like
3456.970-3457.209: an
3457.209-3457.288: fifty
3457.368-3457.606: bc
3457.606-3457.765: or
3457.765-3458.004: something
3458.004-3458.163: like
3458.163-3458.322: that
3458.894-3459.394: to
3459.453-3459.613: give
3459.613-3459.932: an
3459.932-3460.251: incentive
3460.251-3460.751: for
3460.890-3461.129: any
3461.129-3461.369: roman
3461.369-3461.768: citizen
3461.768-3461.927: that
3461.927-3462.087: would
3462.087-3462.486: have
3462.486-3462.646: a
3462.646-3462.885: second
3462.885-3463.045: or
3463.045-3463.204: third
3463.204-3463.444: child
3464.242-3464.402: so
3464.402-3464.561: they
3464.561-3464.641: were
3464.641-3464.960: having
3464.960-3465.460: both
3465.599-3465.758: issues
3465.758-3465.918: in
3465.918-3465.998: for
3466.078-3466.237: d
3466.237-3466.556: bc
3466.716-3466.796: which
3466.796-3467.035: is
3467.035-3467.355: pretty
3467.355-3467.594: wild
3468.711-3468.871: and
3468.871-3469.371: the
3469.669-3469.829: and
3469.829-3469.988: that's
3469.988-3470.308: that
3470.308-3470.387: that
3470.387-3470.547: was
3470.547-3470.866: also
3470.866-3471.186: true
3471.186-3471.480: of
3471.679-3471.839: of
3471.839-3472.238: really
3472.238-3472.636: basically
3472.636-3472.876: every
3472.876-3473.376: every
3473.513-3473.832: civilization
3473.832-3474.072: throughout
3474.072-3474.311: history
3474.470-3474.550: and
3474.550-3474.710: so
3474.710-3474.869: it's
3474.869-3474.949: how
3474.949-3475.108: do
3475.108-3475.348: you
3475.348-3475.587: avoid
3475.587-3476.087: this
3476.703-3476.943: birth
3476.943-3477.262: rate
3477.262-3477.421: collapse
3477.581-3477.820: the
3477.820-3477.979: trap
3477.979-3478.458: of
3478.458-3478.617: it's
3478.617-3478.777: a
3478.777-3478.856: sort
3478.856-3479.096: of
3479.096-3479.596: prosperity
3479.734-3479.893: trap
3481.648-3481.807: i
3481.807-3481.967: don't
3481.967-3482.046: have
3482.046-3482.206: a
3482.206-3482.525: great
3482.525-3482.604: answer
3482.604-3482.764: for
3482.764-3482.844: that
3483.242-3483.742: except
3484.040-3484.120: except
3484.359-3484.439: i
3484.439-3484.678: think
3484.678-3484.837: if
3484.837-3484.917: we
3484.917-3484.997: can
3484.997-3485.156: at
3485.156-3485.396: least
3485.396-3485.475: bring
3485.475-3485.635: it
3485.635-3485.874: to
3485.874-3486.352: conscious
3486.352-3486.751: awareness
3487.965-3488.205: that
3488.205-3488.285: we
3488.285-3488.445: need
3488.445-3488.845: to
3488.845-3489.085: continue
3489.085-3489.245: as
3489.245-3489.725: a
3489.725-3489.885: civilization
3490.205-3490.285: like
3490.445-3490.605: no
3490.605-3491.005: humans
3491.005-3491.325: no
3491.325-3491.725: humanity
3492.765-3493.265: and
3494.365-3494.525: at
3494.525-3494.685: least
3494.685-3494.925: it's
3494.925-3495.085: it's
3495.085-3495.245: a
3495.245-3495.485: topic
3495.485-3495.885: of
3495.885-3496.045: conversation
3496.125-3496.205: it's
3496.205-3496.365: like
3496.365-3496.525: hey
3496.605-3496.765: it's
3496.765-3497.265: something
3497.405-3497.565: we
3497.565-3497.725: should
3497.725-3497.965: do
3497.965-3498.365: something
3498.365-3498.525: about
3499.578-3499.817: and
3499.817-3499.976: and
3499.976-3500.135: we
3500.135-3500.374: definitely
3500.374-3500.613: wanna
3500.613-3500.773: get
3500.773-3500.932: rid
3500.932-3501.011: of
3501.011-3501.330: this
3501.330-3501.808: ridiculous
3501.808-3501.967: notion
3501.967-3502.126: that
3502.126-3502.206: there
3502.206-3502.365: are
3502.365-3502.524: too
3502.524-3502.763: many
3502.763-3503.002: humans
3503.002-3503.162: on
3503.162-3503.321: earth
3504.515-3504.675: this
3504.675-3504.914: is
3504.914-3505.152: false
3506.028-3506.267: yeah
3509.771-3509.851: you
3509.851-3510.010: know
3510.169-3510.249: there's
3510.249-3510.329: a
3510.329-3510.408: lot
3510.408-3510.568: of
3510.568-3510.807: people
3510.807-3510.966: who
3510.966-3511.205: think
3511.205-3511.705: that
3512.574-3512.734: there's
3512.734-3513.053: a
3513.053-3513.292: the
3513.292-3513.691: environment
3513.691-3514.090: can't
3514.090-3514.569: sustain
3514.569-3514.729: this
3514.729-3514.808: number
3514.808-3515.048: of
3515.048-3515.287: humans
3515.287-3515.447: is
3515.447-3515.766: totally
3515.766-3515.845: untrue
3516.085-3516.324: we
3516.324-3516.404: we
3516.404-3516.564: could
3516.564-3516.723: double
3516.723-3517.202: the
3517.202-3517.282: population
3517.282-3517.441: of
3517.441-3517.760: birth
3517.760-3518.000: and
3518.000-3518.239: still
3518.239-3518.399: not
3518.399-3518.558: have
3518.558-3518.798: a
3518.798-3519.276: significant
3519.276-3519.755: environmental
3519.755-3519.915: impact
3520.473-3520.973: so
3522.308-3522.388: you
3522.388-3522.548: know
3523.026-3523.186: it's
3524.064-3524.303: it's
3524.303-3524.782: it
3524.782-3524.941: like
3525.420-3525.739: if
3525.739-3525.819: you
3525.819-3526.058: could
3526.058-3526.218: fit
3526.218-3526.377: all
3526.377-3526.537: of
3526.537-3526.697: the
3526.697-3527.197: humans
3528.070-3528.309: on
3528.309-3528.549: one
3528.549-3528.789: floor
3528.789-3528.949: in
3528.949-3529.109: the
3529.109-3529.189: city
3529.189-3529.349: of
3529.429-3529.508: new
3529.589-3529.749: york
3531.188-3531.688: so
3532.467-3532.947: that's
3533.026-3533.186: like
3533.906-3534.066: eight
3534.066-3534.385: billion
3534.385-3534.705: human
3534.705-3534.865: sounds
3534.865-3535.025: like
3535.025-3535.105: a
3535.105-3535.185: lot
3535.345-3535.665: but
3535.665-3535.905: actually
3536.064-3536.224: you
3536.224-3536.304: know
3536.384-3536.544: if
3536.544-3536.624: if
3536.624-3537.124: you're
3537.184-3537.264: say
3537.424-3537.924: take
3538.383-3538.863: if
3538.863-3539.023: and
3539.023-3539.183: if
3539.183-3539.262: you're
3539.262-3539.343: in
3539.343-3539.742: an
3539.742-3540.242: airplane
3540.302-3540.462: and
3540.462-3540.542: you're
3540.542-3540.782: going
3540.782-3540.941: from
3540.941-3541.261: here
3541.261-3541.741: to
3541.821-3542.141: la
3542.141-3542.300: or
3542.300-3542.620: wherever
3543.194-3543.353: and
3543.353-3543.433: you
3543.433-3543.671: look
3543.671-3544.069: down
3544.069-3544.149: how
3544.149-3544.467: often
3544.467-3544.546: do
3544.546-3544.626: you
3544.626-3544.785: see
3544.785-3544.944: a
3544.944-3545.183: human
3545.819-3545.978: you
3545.978-3546.058: know
3546.137-3546.217: if
3546.217-3546.376: your
3546.376-3546.535: goal
3546.535-3546.694: was
3546.694-3546.853: to
3546.853-3546.933: drop
3546.933-3547.092: a
3547.092-3547.251: wall
3547.251-3547.330: on
3547.330-3547.490: a
3547.490-3547.887: human
3547.887-3548.205: while
3548.205-3548.705: flying
3549.001-3549.501: from
3549.637-3549.796: from
3549.796-3549.876: here
3549.876-3549.955: to
3550.035-3550.273: la
3550.432-3550.671: you'd
3550.671-3550.751: have
3550.751-3550.910: a
3550.910-3551.069: hard
3551.069-3551.228: time
3552.501-3552.819: so
3552.819-3552.977: if
3552.977-3553.137: it
3553.137-3553.455: that
3553.455-3553.614: actual
3553.614-3553.932: density
3553.932-3554.091: of
3554.091-3554.330: humans
3554.330-3554.489: is
3554.489-3554.727: very
3554.727-3554.887: low
3556.416-3556.655: and
3556.655-3556.894: and
3556.894-3557.134: and
3557.134-3557.453: oath
3557.453-3557.692: capable
3557.692-3557.931: of
3557.931-3558.250: of
3558.250-3558.569: easily
3558.569-3558.888: having
3559.127-3559.367: far
3559.367-3559.526: more
3559.526-3559.925: humans
3559.925-3560.164: and
3560.164-3560.563: should
3560.563-3560.722: in
3560.722-3560.962: my
3560.962-3561.201: opinion
3567.915-3568.075: hi
3568.315-3568.395: elon
3568.555-3568.875: it's
3568.875-3569.115: honor
3569.115-3569.275: to
3569.275-3569.435: speak
3569.435-3569.595: with
3569.595-3569.675: you
3569.835-3569.995: and
3570.155-3570.235: i
3570.235-3570.315: just
3570.315-3570.635: wanna
3570.635-3570.955: personally
3570.955-3571.115: thank
3571.115-3571.275: you
3571.275-3571.515: for
3571.515-3571.915: buying
3572.235-3572.635: twitter
3572.635-3572.795: and
3572.795-3573.195: saving
3573.195-3573.355: free
3573.355-3573.595: speech
3573.755-3573.995: you're
3573.995-3574.235: welcome
3578.555-3578.795: so
3578.795-3578.955: a
3578.955-3579.195: couple
3579.195-3579.435: months
3579.435-3579.595: ago
3580.169-3580.249: i
3580.249-3580.489: was
3580.489-3580.649: tired
3580.649-3580.729: of
3580.729-3580.968: being
3580.968-3581.128: a
3581.128-3581.527: keyboard
3581.527-3581.847: warrior
3582.086-3582.246: and
3582.406-3582.566: i
3582.566-3582.725: signed
3582.725-3582.885: up
3582.885-3582.965: to
3582.965-3583.045: be
3583.045-3583.205: a
3583.284-3583.444: trump
3583.444-3583.843: force
3583.843-3584.243: forty
3584.243-3584.482: seven
3584.482-3584.802: captain
3585.281-3585.441: right
3587.278-3587.518: and
3587.677-3587.837: i'd
3587.837-3587.997: knocked
3587.997-3588.316: over
3588.316-3588.556: two
3588.556-3588.875: hundred
3588.875-3589.035: doors
3589.275-3589.514: was
3589.514-3589.674: trying
3589.674-3589.754: to
3589.754-3589.914: get
3589.914-3590.153: people
3590.153-3590.313: to
3590.313-3590.393: get
3590.393-3590.633: out
3590.633-3590.712: and
3590.712-3590.872: both
3590.872-3591.351: were
3591.351-3591.591: president
3591.751-3591.910: trump
3592.325-3592.564: great
3592.804-3593.044: thank
3593.044-3593.204: you
3594.242-3594.722: that's
3594.722-3594.881: it's
3594.881-3595.121: it's
3595.121-3595.281: that's
3595.281-3595.601: super
3595.601-3595.760: important
3596.000-3596.160: i
3596.160-3596.240: mean
3596.719-3596.959: the
3596.959-3597.278: the
3597.358-3597.518: you
3597.518-3597.678: know
3598.637-3599.137: as
3599.276-3599.595: was
3599.595-3599.675: it
3599.675-3599.835: was
3599.835-3599.995: asked
3599.995-3600.075: to
3600.075-3600.234: me
3600.234-3600.474: at
3600.474-3600.554: at
3600.554-3600.794: the
3600.794-3600.954: beginning
3600.954-3601.113: of
3601.113-3601.273: this
3601.273-3601.433: talk
3601.593-3601.752: you
3601.752-3601.832: know
3601.912-3602.072: why
3602.072-3602.152: am
3602.232-3602.472: i
3602.472-3602.711: so
3602.711-3603.111: involved
3603.111-3603.430: in
3603.430-3603.750: politics
3603.750-3603.910: this
3603.910-3604.229: time
3604.229-3604.309: because
3604.469-3604.549: i
3604.549-3604.709: think
3604.709-3604.868: this
3604.868-3605.028: time
3605.028-3605.188: to
3605.188-3605.348: fork
3605.348-3605.428: in
3605.428-3605.588: the
3605.588-3605.668: road
3606.626-3606.946: and
3606.946-3607.446: it's
3608.478-3608.558: i
3608.558-3608.717: think
3608.877-3608.956: i
3608.956-3609.356: think
3609.356-3609.515: frankly
3609.755-3609.834: i
3609.834-3609.914: think
3609.914-3610.074: we're
3610.074-3610.154: doomed
3610.393-3610.712: if
3610.712-3610.792: if
3610.872-3611.031: trump
3611.031-3611.191: doesn't
3611.191-3611.271: win
3611.430-3611.590: i
3611.590-3611.670: think
3611.670-3611.749: we're
3611.749-3611.909: doomed
3612.069-3612.228: i
3612.228-3612.308: think
3612.308-3612.707: we're
3612.707-3612.867: it's
3613.186-3613.345: we're
3613.345-3613.505: in
3613.505-3613.665: the
3613.665-3613.825: doom
3613.825-3614.223: loop
3614.223-3614.463: at
3614.463-3614.622: that
3614.622-3614.782: point
3615.021-3615.500: so
3615.500-3615.660: you
3615.660-3615.740: got
3615.740-3615.899: a
3615.899-3615.979: win
3616.378-3616.777: and
3616.777-3616.936: and
3616.936-3617.256: and
3617.256-3617.335: and
3617.495-3617.655: i
3617.735-3617.814: i
3617.814-3618.133: think
3618.133-3618.373: for
3618.373-3618.772: those
3618.772-3618.932: who
3618.932-3619.171: are
3619.171-3619.671: in
3620.049-3620.528: areas
3620.528-3620.767: that
3620.767-3621.086: are
3621.166-3621.246: you
3621.246-3621.325: know
3621.565-3621.645: sort
3621.645-3621.804: of
3621.804-3622.044: normally
3622.044-3622.203: it's
3622.203-3622.363: like
3622.363-3622.523: deep
3622.523-3623.001: blue
3623.001-3623.501: areas
3624.374-3624.534: i
3625.174-3625.334: if
3625.334-3625.653: if
3625.653-3625.733: if
3625.733-3626.053: you
3626.053-3626.453: if
3626.453-3626.613: if
3626.613-3626.773: you
3626.773-3626.932: think
3626.932-3627.012: you
3627.012-3627.252: won't
3627.252-3627.492: get
3627.492-3627.892: assaulted
3627.892-3628.052: to
3628.211-3628.531: you
3629.091-3629.251: put
3629.251-3629.410: put
3629.410-3629.490: a
3629.650-3629.890: trump
3629.890-3630.370: vance
3630.370-3630.689: sign
3630.689-3630.849: on
3630.849-3631.089: your
3631.089-3631.329: loan
3633.727-3633.807: i
3633.807-3633.887: mean
3634.287-3634.447: a
3634.447-3634.526: a
3634.526-3634.686: lot
3634.686-3634.766: of
3634.766-3635.006: it
3635.006-3635.246: is
3635.246-3635.486: is
3635.486-3635.566: like
3635.646-3635.885: people
3635.885-3636.045: are
3636.125-3636.205: like
3637.020-3637.340: this
3637.340-3637.500: they
3637.500-3637.660: need
3637.660-3638.060: social
3638.060-3638.300: proof
3638.620-3638.780: they
3638.780-3639.020: need
3639.020-3639.180: they
3639.180-3639.420: need
3639.420-3639.820: evidence
3639.820-3640.140: that
3640.140-3640.380: that
3640.380-3640.620: other
3640.620-3640.940: than
3640.940-3641.100: that
3641.100-3641.420: they're
3641.420-3641.660: not
3641.660-3641.900: alone
3642.620-3642.860: and
3642.860-3643.180: so
3643.180-3643.340: probably
3643.500-3643.660: a
3643.660-3643.740: lot
3643.740-3643.900: of
3643.900-3644.220: people
3644.220-3644.300: in
3644.300-3644.460: these
3644.620-3644.780: like
3645.580-3646.080: nominally
3646.140-3646.460: blue
3646.460-3646.960: areas
3647.500-3647.820: would
3647.820-3648.060: actually
3648.060-3648.300: vote
3648.300-3648.380: for
3648.460-3648.540: trump
3648.700-3648.860: they
3648.860-3649.100: thought
3649.100-3649.340: someone
3649.340-3649.580: else
3649.580-3649.660: was
3649.660-3649.980: born
3649.980-3650.060: for
3650.140-3650.380: trump
3650.380-3650.540: too
3651.753-3651.992: and
3651.992-3652.311: so
3652.311-3652.391: if
3652.391-3652.551: you
3652.551-3652.631: just
3652.631-3652.790: put
3652.790-3653.109: the
3653.109-3653.269: the
3653.269-3653.428: sign
3653.428-3653.588: on
3653.588-3653.748: the
3653.748-3654.146: loan
3654.146-3654.545: and
3654.545-3654.785: and
3654.785-3654.944: be
3654.944-3655.104: sort
3655.104-3655.343: of
3655.343-3655.423: loud
3655.423-3655.582: and
3655.582-3655.822: proud
3655.981-3656.141: then
3656.220-3656.300: i
3656.300-3656.619: think
3656.619-3656.859: people
3656.859-3656.939: were
3656.939-3657.018: be
3657.018-3657.098: like
3657.178-3657.337: you
3657.337-3657.417: know
3657.417-3657.577: what
3658.055-3658.135: i
3658.135-3658.295: think
3658.374-3658.454: i'll
3658.454-3658.614: vote
3658.614-3658.773: put
3658.773-3659.013: trump
3659.013-3659.172: too
3666.208-3666.607: so
3666.926-3667.086: my
3667.325-3667.564: i
3667.564-3667.724: a
3667.724-3668.043: a
3668.043-3668.362: rhetoric
3668.362-3668.602: question
3668.841-3669.001: can
3669.001-3669.320: you
3669.320-3669.479: buy
3669.639-3670.038: disney
3670.038-3670.118: and
3670.198-3670.437: fire
3670.597-3670.756: david
3670.916-3671.155: mueller
3675.464-3675.544: now
3675.703-3675.863: that's
3675.863-3676.023: a
3676.023-3676.262: real
3676.262-3676.762: interesting
3676.821-3676.980: idea
3680.985-3681.145: so
3681.305-3681.805: d
3681.864-3682.264: has
3682.264-3682.344: become
3682.344-3682.584: a
3682.584-3683.084: cancer
3683.303-3683.463: in
3683.463-3683.963: our
3684.102-3684.182: corporations
3684.422-3684.502: it
3684.502-3684.742: really
3684.742-3684.902: has
3685.461-3685.541: and
3685.701-3685.781: i
3685.781-3686.021: was
3686.021-3686.341: wondering
3686.341-3686.501: if
3686.501-3686.740: there's
3686.740-3687.240: anything
3687.300-3687.800: realistically
3687.860-3687.940: that
3687.940-3688.179: the
3688.179-3688.499: federal
3688.499-3688.899: government
3688.899-3689.059: can
3689.059-3689.378: do
3689.378-3689.538: or
3689.538-3689.858: the
3689.858-3690.338: equal
3690.338-3690.817: employment
3690.817-3691.137: opportunity
3691.457-3691.957: commission
3692.336-3692.836: to
3692.976-3693.136: put
3693.136-3693.455: a
3693.455-3693.695: stop
3693.695-3693.775: to
3693.775-3693.855: this
3694.508-3694.667: yeah
3694.985-3695.144: i
3695.144-3695.304: think
3695.304-3695.463: they
3695.463-3695.941: should
3695.941-3696.100: the
3696.100-3696.259: the
3696.259-3696.498: government
3696.498-3696.657: should
3696.657-3696.816: be
3696.816-3697.294: actively
3697.294-3697.794: saying
3697.851-3698.010: that
3698.010-3698.170: it
3698.170-3698.568: is
3698.568-3699.068: illegal
3699.364-3699.682: to
3699.682-3700.160: discriminate
3700.160-3700.319: on
3700.319-3700.479: the
3700.479-3700.718: basis
3700.718-3701.218: of
3701.354-3701.593: of
3701.593-3701.832: race
3702.071-3702.469: gender
3702.469-3702.628: or
3702.628-3703.026: any
3703.026-3703.345: anything
3703.345-3703.663: else
3703.663-3703.902: other
3703.902-3704.061: than
3704.061-3704.300: merit
3704.857-3705.017: it
3705.017-3705.256: is
3705.256-3705.494: illegal
3705.972-3706.131: that's
3706.624-3707.023: that's
3707.023-3707.263: it's
3707.263-3707.502: not
3707.502-3707.662: right
3708.939-3709.098: it's
3709.098-3709.258: it's
3709.417-3709.497: you
3709.497-3709.657: know
3709.816-3710.055: it's
3710.055-3710.375: not
3710.375-3710.694: morally
3710.694-3710.774: right
3710.933-3711.093: it's
3711.093-3711.332: not
3711.332-3711.651: legally
3711.651-3711.811: right
3712.130-3712.290: and
3712.290-3712.449: it
3712.449-3712.609: doesn't
3712.609-3712.848: matter
3712.848-3713.008: who
3713.008-3713.327: you're
3713.327-3713.827: discriminating
3713.885-3714.125: against
3714.843-3715.002: the
3715.002-3715.162: point
3715.162-3715.322: is
3715.322-3715.401: not
3715.401-3715.561: to
3715.561-3716.061: have
3716.439-3716.519: discrimination
3716.678-3717.157: but
3717.157-3717.556: a
3717.556-3717.715: a
3717.715-3718.035: different
3718.035-3718.194: type
3718.194-3718.673: of
3718.673-3718.832: discrimination
3718.832-3718.992: the
3718.992-3719.072: point
3719.072-3719.231: is
3719.231-3719.311: to
3719.550-3719.710: not
3719.710-3719.790: i
3719.790-3720.290: have
3720.348-3720.428: discrimination
3720.588-3720.748: that's
3720.748-3720.907: the
3720.907-3721.226: whole
3721.226-3721.386: idea
3722.516-3722.755: yeah
3727.932-3728.011: you
3728.011-3728.091: know
3728.648-3728.808: first
3728.808-3728.967: of
3728.967-3729.047: all
3729.285-3729.445: thank
3729.445-3729.763: you
3729.763-3730.002: for
3730.002-3730.241: all
3730.241-3730.480: you're
3730.480-3730.799: doing
3730.799-3731.038: and
3731.038-3731.197: thank
3731.197-3731.436: you
3731.436-3731.595: for
3731.595-3731.914: being
3731.914-3732.153: you
3733.188-3733.688: i'll
3734.701-3735.201: it's
3735.497-3735.736: i
3735.736-3735.975: appreciate
3735.975-3736.135: the
3736.135-3736.373: kind
3736.373-3736.453: words
3736.692-3736.851: thank
3736.851-3736.931: you
3737.742-3737.901: in
3737.901-3738.140: the
3738.140-3738.219: book
3738.458-3738.697: all
3738.697-3738.935: the
3738.935-3739.413: glitter
3739.651-3740.049: the
3740.049-3740.549: mystery
3740.686-3740.845: behind
3740.845-3741.084: the
3741.084-3741.584: glitter
3741.720-3742.220: conspiracies
3742.754-3743.232: is
3743.232-3743.550: revealed
3744.186-3744.584: and
3746.017-3746.517: the
3747.290-3747.528: details
3747.528-3748.006: of
3748.006-3748.404: mission
3748.404-3748.904: x
3748.960-3749.438: is
3749.438-3749.756: exposed
3750.329-3750.829: where
3751.048-3751.528: spacex
3751.528-3752.028: is
3752.087-3752.406: utilized
3752.406-3752.906: to
3753.205-3753.525: deposit
3753.525-3753.764: a
3753.764-3754.264: layer
3754.323-3754.823: of
3754.883-3755.383: glitter
3756.161-3756.321: above
3756.321-3756.821: the
3756.960-3757.199: atmosphere
3757.199-3757.699: which
3758.238-3758.557: the
3758.557-3759.057: flex
3759.196-3759.516: bread
3759.516-3759.835: and
3759.835-3760.335: infrared
3760.474-3760.794: right
3760.794-3761.034: away
3761.034-3761.353: and
3761.353-3761.673: cool
3761.673-3761.912: a
3761.912-3762.312: planet
3763.844-3764.344: my
3764.802-3765.121: understanding
3765.121-3765.440: is
3765.440-3765.760: that
3765.760-3765.839: this
3765.839-3766.079: is
3766.079-3766.238: sort
3766.238-3766.398: of
3766.398-3766.717: being
3766.717-3767.036: kept
3767.036-3767.536: secret
3767.754-3768.254: because
3768.313-3768.473: you
3768.473-3768.712: don't
3768.712-3769.031: want
3769.031-3769.531: environmental
3769.829-3770.069: or
3770.069-3770.388: other
3770.388-3770.547: people
3770.547-3770.787: to
3770.787-3770.867: come
3770.867-3771.266: in
3771.266-3771.505: and
3771.505-3772.005: regulate
3772.064-3772.383: and
3772.383-3772.543: stop
3772.543-3772.702: it
3772.702-3772.941: from
3772.941-3773.420: happening
3774.059-3774.559: why
3775.495-3775.814: isn't
3775.814-3776.054: the
3776.054-3776.554: public
3776.612-3776.852: being
3776.852-3777.251: made
3777.251-3777.650: aware
3777.650-3777.969: that
3777.969-3778.049: it
3778.049-3778.208: is
3778.208-3778.527: is
3778.527-3779.027: essential
3779.580-3779.660: that
3779.820-3780.140: donald
3780.300-3780.700: trump
3780.700-3781.100: be
3781.100-3781.600: elected
3781.980-3782.220: for
3782.220-3782.380: this
3782.380-3782.620: to
3782.620-3783.120: happen
3783.420-3783.660: because
3783.900-3784.400: trump
3784.940-3785.440: will
3785.740-3786.060: not
3786.060-3786.220: have
3786.220-3786.460: to
3786.460-3786.960: ask
3787.100-3787.500: permission
3787.500-3787.740: to
3787.740-3787.980: save
3787.980-3788.220: the
3788.220-3788.620: planet
3789.340-3789.580: he'll
3789.580-3789.980: just
3789.980-3790.220: do
3790.220-3790.380: it
3791.020-3791.475: and
3791.675-3791.834: i'm
3791.834-3792.074: just
3792.074-3792.574: wondering
3793.193-3793.512: if
3793.512-3793.832: you
3793.832-3794.151: build
3794.151-3794.311: the
3794.311-3794.631: same
3794.631-3795.110: sentiment
3795.269-3795.509: and
3795.509-3795.909: then
3795.909-3796.228: there's
3796.228-3796.628: also
3796.628-3797.027: been
3797.027-3797.527: some
3798.784-3799.184: rumors
3799.184-3799.344: on
3799.344-3799.424: the
3799.743-3800.062: internet
3800.062-3800.562: that
3801.501-3801.740: you're
3801.740-3802.060: gonna
3802.060-3802.299: not
